movie_name,year,genre,plot
Gunda,1998,"Action, Comedy, Crime","The gangster Bulla (Mukesh Rishi) becomes the crime lord of Mumbai after killing his rival Lamboo Aata (Ishrat Ali). However, when his right hand man Kala Shetty (Rami Reddy) is arrested by police due to the intervention of a coolie and a good samaritan Shankar (Mithun Chakraborty), Bulla swears revenge. He manages to trap Shankar's sister Geeta (Sapna) into a sham marriage with Gulshan (Gulshan Rana) who is a scamster working for the pimp Lucky Chikna (Razak Khan). Bulla's younger brother Chutiya (Shakti Kapoor), who has long been impotent, becomes sex-crazed under the influence of London-imported pills provided by his loving elder brother and proceeds to brutally rape Geeta and ends up killing her. When Shankar's policeman father is also killed by the corrupt Inspector Kale (Rana Jung Bahadur), Shankar swears that he will kill Bulla, Chutiya, their ally Potey (Mohan Joshi) and the rest of their entourage within ten days."
Tere Bin Laden,2010,"Comedy, Drama","""Tere Bin Laden"" is a tongue-in-cheek comedy about an ambitious young news reporter from Pakistan who is desperate to migrate to the US in pursuit of the American dream. His repeated attempts to immigrate are shot down as his visa is always rejected. But when things couldn't look worse he comes across an Osama bin Laden look alike. Ali then hatches a scheme to produce a fake Osama video and sell it to news channels as a breakthrough scoop! Unfortunately there are serious ramifications as the White House gets involved and dispatches a overzealous secret agent on Ali's trail."
Everybody Sing,1938,"Comedy, Musical, Romance","Judy Bellaire, played by Judy Garland, is the center of trouble at her exclusive private and very conservative school. She is expelled when she starts singing in a Jazzy style in her music class. Mayhem ensues as she returns home to her actress mother, playwright father, dysfunctional Russian maid (Fanny Brice) and tries out as a black face singer in a musical."
Twins,1988,"Comedy, Crime",Julius and Vincent Benedict are the results of an experiment that would allow for the perfect child. Julius was planned and grows to athletic proportions. Vincent is an accident and is somewhat smaller in stature. Vincent is placed in an orphanage while Julius is taken to a South Seas island and raised by philosophers. Vincent becomes the ultimate lowlife and is about to be killed by loan sharks when Julius discovers that he has a brother and begins looking for him.
The Disorderly Orderly,1964,"Comedy, Romance","When he flunks out of med school, Jerome Littlefield goes to work as an orderly in a private rest home where he wreaks havoc for everyone concerned. Dr. Jean Howard is the exasperated head of the sanitarium who almost becomes a patient after the antics of the frantic employee. When talkative patient Mrs. Fuzzibee happily and continuously relates her maladies to Jerome, he hilariously has psychosomatic symptoms that mirror those of the nutty woman. He discovers that his high school girl of his dreams, Susan Andrews has been brought to the sanitarium after a suicide attempt. He secretly pays for the destitute young woman's stay while helping to restore her confidence and self respect, much to the jealousy of his girlfriend, Julie Blair, a young and pretty nurse who has high hopes of becoming the future Mrs. Littlefield."
Here Comes Mr. Jordan,1941,"Comedy, Fantasy, Romance","Boxer Joe Pendleton, flying to his next fight, crashes...because a Heavenly Messenger, new on the job, snatched Joe's spirit prematurely from his body. Before the matter can be rectified, Joe's body is cremated; so the celestial Mr. Jordan grants him the use of the body of wealthy Bruce Farnsworth, who's just been murdered by his wife. Joe tries to remake Farnsworth's unworthy life in his own clean-cut image, but then falls in love; and what about that murderous wife?"
Perfect Friday,1970,"Comedy, Crime","The deputy manager of a London bank has worked out a way to rob the branch of £200,000. When he becomes involved with the attractive Lady Dorset he decides to go ahead with his plan. He needs her help and that of her philandering spendthrift husband. It all comes down to a matter of trust."
Dodgeball: A True Underdog Story,2004,"Comedy, Sport","White Goodman (Ben Stiller) is the owner and founder of Globo Gym, and would love nothing more than owning Average Joe's Gymnasium. Peter LaFleur (Vince Vaughn) doesn't want to lose his gym to Goodman, but can't find a way to get $50,000 in time. Peter and his gang of gym buddies think of ways to raise money, finally settling on winning a dodge ball tournament. White Goodman retaliates by creating his own dodge ball team to finish off Peter. Peter's team doesn't do too well, until legendary ADAA champ Patches O'Houlihan (Rip Torn) turns up ready to train them."
Stepping Out,1991,"Comedy, Drama, Musical","This is a musical-comedy movie produced and directed by Lewis Gilbert, starring Liza Minnelli, written by Richard Harris, and based on a play also written by Harris. Minnelli plays the role of a has-been Broadway performer who gives tap lesson to a group of misfits who, through their dance classes, bond and realize what they can achieve."
The Dog Who Saved Christmas,2009,"Animation, Adventure, Comedy","The Bannister family's new addition, Zeus (voiced by Mario Lopez of TV's SAVED BY THE BELL), the yellow Labrador, appears to be less than the dependable guard dog the family needs. However, when two burglars set out to break into the Bannister's home while they're away for Christmas, Zeus seizes the chance to be a hero, proving every dog - even this one - has his day. Dean Cain (TV's LOIS & CLARK), Gary Valentine (TV's THE KING OF QUEENS), Elisa Donovan (CLUELESS, TV's SABRINA THE TEENAGE WITCH), Mindy Sterling (AUSTIN POWERS), and Adrienne Barbeau (MAUDE, CARINVALE) also lend their voices in this heart-warming animated holiday movie."
Bedtime Worries,1933,"Family, Short, Comedy",An Our Gang Comedy. Spanky's parents are trying unsuccessfully to get Spanky to spend a peaceful first night in his own room.
Senior Mandrake,2010,Comedy,"Kuttan becomes rich after selling a statue that is known to bring bad luck. However, things take a u-turn when the statue finds its way back to his house."
The Vanishing Duck,1958,"Animation, Short, Adventure","George gives Joan a baby duck for her birthday. While they are out celebrating, Tom goes after the duck but his plans are thwarted when the duck (and, later, Jerry) finds a jar of vanishing cream and uses it to well, vanish, and get even with Tom (for a while, at least)."
Hibernatus,1969,"Comedy, Fantasy, Sci-Fi","The frozen body of Paul Fournier is discovered in Greenland where he had disappeared during a scientific expedition in 1905. Perfectly conserved he is brought back to life in the 1960s. His descendants take care of him: to spare him the cultural shock they behave so to make believe it's 1905 and they are his cousins, uncle..."
Heartbeeps,1981,"Comedy, Sci-Fi","Val and Aqua are two household servant robots who start feeling emotions for each other. After falling in love, they decide to escape from their servitude and attempt to start a family of their own."
Nagarangalil Chennu Raparkam,1990,Comedy,"After Kunhikannen's father has a bad dream, he isn't allowed to go out anymore. When an old friend of Kunhikannan arrives, both escape and go out to the real world which he has never got to know before. But there he learns the reality. The hard business of life..."
Casper: A Spirited Beginning,1997,"Animation, Comedy, Family, Fantasy, Horror","When Casper failed to show up at the Ghost Central Station, he instead finds himself in the world of the living where he befriends a young boy name Chris Carson, a 10 year old, who loves ghosts and the supernatural and has a workaholic father: Tim Carson who spends little time with his son as he attempts to tear down an old mansion to update the town. Casper also meets with the Ghostly Trio where they along with Chris are willing to help Casper become a better ghost. Meanwhile, a monstrous ghoul: Kibosh, who is head of the Ghost Central, discovers of Casper's absence, sent out his assistant: Snivel to find Casper and bring him back at once."
Kung Fu Hustle,2004,"Action, Comedy, Fantasy","Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all."
The Family Jewels,1965,Comedy,"Nine-year-old Donna Peyton is orphaned when her father dies and leaves her with a $30 million fortune. Her late father's attorney, John Wyman, explains that she must visit each of her six uncles (all played by Jerry Lewis) and decide which of them will become her new ""father."""
Fortunat,1960,"Comedy, Drama, War","During WW2, a posh bourgeois woman ,Juliette,is forced to live under the same room as a crude simple-minded yet kind man. Her husband was arrested by the Gestapo and she is a hunted woman . Their neighbors are a Jewish family with a little girl.In a very simple but moving way,we see the absurdity of Anti-Semitism:both families get on very well,they drink lemonade,make music and celebrate Christmas together.The most beautiful scene is perhaps the moment when the two boys and the girl are eating bread and are pretending they're savoring chicken."
Smokey and the Bandit II,1980,"Action, Adventure, Comedy","It's been a few years since Cletus and the Bandit made their famous 28-hour run to Texas for a few cases of Coors. Bandit is now a washed-up has-been living in the past, until Big Enos and Little Enos make him another offer: Transport a live Elephant across country in 3 days or less."
Singin' in the Rain,1952,"Comedy, Musical, Romance","1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the pan: talking pictures. It isn't until The Jazz Singer (1927) becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don's best friend, gets hired as Monumental's ideas man and musical director. And by this time, Don has secretly started dating Kathy Selden, a chorus girl who is trying to make it big in pictures herself. Don and Kathy's relationship is despite their less than friendly initial meeting. Cosmo and Kathy help Don, who had worked his way up through the movie ranks to stardom, try make the leap to talking picture stardom, with Kathy following along the way. However, they have to overcome the technological issues. But the bigger problem is Lina, who will do anything to ensure she also makes the successful leap into talking pictures, despite her own inabilities and at anyone and everyone else's expense if they get in her way, especially Kathy as Don's off screen girlfriend and possibly his new talking picture leading lady."
Kate & Leopold,2001,"Comedy, Fantasy, Romance","Kate and her actor brother live in N.Y. in the 21st Century. Her ex-boyfriend, Stuart, lives above her apartment. Stuart finds a space near the Brooklyn Bridge where there is a gap in time. He goes back to the 19th Century and takes pictures of the place. Leopold -- a man living in the 1870s -- is puzzled by Stuart's tiny camera, follows him back through the gap, and they both ended up in the present day. Leopold is clueless about his new surroundings. He gets help and insight from Charlie who thinks that Leopold is an actor who is always in character. Leopold is a highly intelligent man and tries his best to learn and even improve the modern conveniences that he encounters."
The Human Tornado,1976,"Action, Comedy, Drama","One of several Rudy Ray Moore films, THE HUMAN TORNADO is part of the on-going adventures of Dolemite: a signifying' super-hero. Dolemite comes to the rescue of Queen Bee, whose primarily black Nightclub is threatened by White Mafia types."
Dicky Moe,1962,"Animation, Short, Adventure","Tom the cat has been shanghaied aboard a whaling vessel manned only by a violently insane one-legged captain obsessed with finding Dicky Moe, the elusive Great Whale. Jerry stows away on board the ship, and soon out to get Tom in as much trouble as he possibly can. Will Tom make it back to dry land, or will he end up as whale bait?"
Masam-Masam Manis,1965,"Comedy, Drama, Romance",A couple begin a romantic relationship without knowing that they are warring neighbors in a boarding house. Marital problems ensue when they discover they are not who they thought themselves to be.
Bee Movie,2007,"Animation, Adventure, Comedy","When the bee Barry B. Benson (Jerry Seinfeld) graduates from college, he finds that he will have only one job for his entire life, and absolutely disappointed, he joins the team responsible for bringing the honey and pollination of the flowers to visit the world outside the hive. Once in Manhattan, he is saved by florist Vanessa Bloome (Renée Zellweger) and he breaks the bee law to thank Vanessa. They become friends and Barry discovers that humans exploit bees to sell the honey they produce. Barry decides to sue the human race, with destructive consequences to nature."
Grilled,2006,"Comedy, Crime","In L.A., Maurice and Dave sell steaks - high-end cuts of beef. They've hit a patch of no sales, and they're facing being fired. Maurice needs money to enroll in his final semester of acupuncture school, and the recently-separated Dave needs money for his daughter's birthday gift. Their final client card: a beautiful woman opens the door, and she's attracted to Maurice, but a desperate call from a suicidal friend interrupts her signing the contract. Still hoping to close the sale, Maurice and Dave offer to drive her to the friend's house, and there, troubles multiply. Facing guns, hitmen, and women's secrets, a sale is the farthest thing from their minds. Are they about to be grilled?"
Slink Pink,1969,"Animation, Short, Comedy","A homeless Pink Panther, seeking shelter on a bitterly cold night, sneaks through a window into the cozy, warm living room of a diminutive, excitable game hunter, whose stuffed animal-head trophies adorn the walls of his abode. The Pink Panther's mooching presence in the house never arouses the hunter's suspicion that there is an unwelcome guest, but the hunter's dog knows about the Pink Panther's intrusion and repeatedly tries to alert its master. The Pink Panther replaces the stuffed body of a Ugandan panther with himself in a still pose and doesn't blink when the man repeatedly whacks him with a stick to show to his dog that the panther is dead and stuffed, and when the man leaves the room and the dog remains, the Pink Panther hits the dog with the stick. Every time the dog tries to retaliate against the Pink Panther, the Pink Panther has moved and the man has taken his place, in the bathtub, in a chair, and in bed, and thus receives the brunt of the dog's attacks."
Fastest with the Mostest,1960,"Family, Animation, Short","Wile E. Coyote tries to drop a rocket bomb on the Road Runner from a balloon but inflates himself instead, ascends skyward, then falls along with the bomb. He tries painstakingly to deactivate the bomb before it explodes - and fails. His attempt to trap the Road Runner on the edge of a cliff results in the cliff collapsing under his feet, sending him to the ground to be hit by his own knife and fork and then fall into a waterfall leading to a maze of pipes."
Roman Legion-Hare,1955,"Animation, Family, Short","Yosemite Sam, as head of a Roman legion, is ordered by Emperor Nero to find a victim to toss to the lions. Or else, he'll be the victim. Sam meets up with Bugs Bunny and decides Bugs will make a good victim. But it's Sam and Nero who end up as lion food."
There Was a Crooked Man...,1970,"Comedy, Western","Charm, intelligence and success in criminal career doesn't prevent Paris Pitman Jr. to start doing ten years in prison, in the middle of the Arizona desert. However, those years should pass quickly because of a $500,000 loot previously stashed away. New idealistic warden would only make Pitman think of getting his fortune even sooner. He starts to manipulate everyone to achieve his goal."
All for a Girl,1916,"Comedy, Short",Plump and Runt are pursuing the same girl. She agrees to marry the one who can get the better job.
Hudugaata,2007,"Comedy, Drama","The story begins with Balu (Ganesh) who is a correspondent of 'Satyavahini' newspaper and is on his way to Kanyakumari as part of a punishment to cover a sports assignment. Keen to unravel scandals and spicy news, Balu comes across a girl clad in Burkha and true to his guesses, he learns that it is Priya (Rekha), the daughter of a famous business tycoon who is on the run from her father to get to her fiancé Rahul, a prominent badminton player. Apparently, Priya's father is against Rahul as he is aware that the player is a big flirt. Both of them miss their bus and Ganesh promises to take Priya to Rahul with whatever money he has got. Meanwhile, he keeps recording the whole story which will be ready for headlines next day. As time passes, both of them get to know each other and gradually fall in love with one another without realizing. However, Balu wants to stay away from all this and calls up Priya's father to return back his daughter. He also asks for the expenses he bore on his daughter which is exactly Rs. 2991 and nothing more. This impresses Priya's father who requests Balu to marry his daughter and keep her away from the evil hands of Rahul. The climax unfolds in the marriage hall and love conquers all in the end."
Wildcats,1986,"Comedy, Sport","Molly is a high school track coach who knows just as much about football as anyone else on the planet. When the football coach's position becomes vacant, she applies for the job, despite expecting sniggers from fellow staff members and her former husband."
Maisie Was a Lady,1941,"Comedy, Drama",Showgirl Maisie Ravier finds herself once again out of work. She meets a wealthy playboy who hires her to be his family's new maid. Maisie soon finds herself trying to mend the family's many problems.
Currency,2009,Comedy,"A mentally disabled man along with an outsider makes fake currency refering some old damaged books,replace it with real money.They tries to transport it.anywhay a police force is behind to tackle them."
Kevin & Perry Go Large,2000,"Comedy, Music","Kevin and Perry are two 15-year-old boys whose desperation to lose their virginity is so great that it inspires a sort of awe. In the rare moments when they're not thinking about girls, Kevin dreams of being a singer and Perry aspires to be a dance-music DJ. When they manage to stop a bank robbery, they're given a sizable cash reward and decide to go on holiday to Ibiza, which is supposedly populated with thousands of beautiful women willing to sleep with anyone. Bu after the boys pack plenty of condoms and sunscreen, Kevin's parents announce that they're tagging along. Undeterred, Kevin and Perry make the trip and meet superstar DJ Eyeball Paul , who may or may not listen to their demo tape. The boys also encounter Gemma and Candice, two scruffy teenage girls who are nearly as eager as Kevin and Perry to get horizontal."
In the Navy,1941,Comedy,"Russ Raymond, America's number one crooner, disappears and joins the Navy under the name Tommy Halstead. Dorothy Roberts, a magazine journalist, is intent on finding out what happened to Russ and she tries everything she can to get a picture of him to prove he's Russ Raymond. Tommy's friends, Pomeroy Watson and Smokey Adams,help him while Pomeroy writes love letters to Patty Andrews. But because Smokey makes Pomeroy lie about himself in the letters, and when Patty comes to the Navy base, she's furious at Pomeroy. When Pomeroy, Smokey, Tommy and the Andrews sisters set sail for Hawaii, Pomeroy discovers there's a tomato in the potato locker, and she's been snapping shots of Tommy the whole trip. Whether Pomeroy's proving that 7 x 13 = 28 - three different ways, having Smokey help him play ship captain for Patty, or falling out of his hammock, it's an Abbott and Costello classic."
Beavis and Butt-Head Do America,1996,"Animation, Adventure, Comedy","Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score. On the way they encounter a murderous smuggler of a deadly virus and his treacherous wife, an FBI agent with a predilection for cavity searches, a couple of rather familiar looking ex-Motley Crue roadies, Mr. Van Dreesen singing ""Lesbian Seagull"", a little old lady and of course Mr. Anderson and his trailer. Can the Great Cornholio save the day? Uh-huh. Huh-huh."
Night at the Museum,2006,"Adventure, Comedy, Family","In New York, unemployed and divorced Larry Daley is a complete loser. His son Nick is very disappointed with his father who is going to be evicted. Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills. On his first shift, Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets. The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn. When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. Larry organizes all the historic characters to help him stop the criminals and save the museum."
Get Crazy,1983,"Comedy, Music","Mega-promoter Colin Beverly plans to sabotage the New Year's 1983 concert of small-time operator Max Wolfe. Wolfe's assistants Neil Allen and Willie Loman find romance while trying to save the drugs, violence, and rock and roll from Beverly's schemes."
Spanking the Monkey,1994,"Comedy, Drama","About to stay a summer internship, promising young medical student at MIT, Raymond's mother, Susan, breaks her leg. Housebound and immobile, his father, Tom, makes Raymond stay home and take care of her. Susan's a troubled woman, and along with Raymond's own emotional strains, it leads them to intimate physical contact, which Raymond finds uneasy. He soon meets a high school girl, Toni, but his ability to handle starting a relationship with her is difficult, due to the emotionally troubling recent events in his life."
The Haunted House,1921,"Short, Comedy, Horror","Buster is a bank clerk. Overturned glue gets everything, mostly the money, stuck to everything else. When robbers show up he can't ""stick 'em up"" because his hands are stuck in his pockets. The robbers' hideout is a haunted house designed to scare off police."
200 Pounds Beauty,2006,"Comedy, Drama, Music","Han-na, an overweight woman with a beautiful voice, provides the real vocals for a pretty pop star who can't carry a tune. After a humiliating encounter, Han-na undergoes head-to-toe plastic surgery and reemerges a year later as svelte singer Jenny."
National Lampoon's Animal House,1978,Comedy,"Faber College has one frat house so disreputable it will take anyone. It has a second one full of white, anglo-saxon, rich young men who are so sanctimonious no one can stand them except Dean Wormer. The dean enlists the help of the second frat to get the boys of Delta House off campus. The dean's plan comes into play just before the homecoming parade to end all parades for all time."
You're Only Young Once,1937,"Comedy, Family, Romance","On vacation with his family on California's Catalina Island, Andy Hardy falls head over swim fins for a sophisticated young beauty. Judge Hardy warns his son that she is too fast for him."
Silk Stockings,1957,"Comedy, Musical, Romance","A musical remake of Ninotchka: After three bumbling Soviet agents fail in their mission to retrieve a straying Soviet composer from Paris, the beautiful, ultra-serious Ninotchka is sent to complete their mission and to retrieve them. She starts out condemning the decadent West, but gradually falls under its spell with the help of Steve Canfield, an American movie producer."
"Tramp, Tramp, Tramp",1926,"Adventure, Comedy, Romance","Low-life Harry falls in love with sweet Betty who inspires him to improve himself so he can marry her. He enters a $25,000 cross-country hiking contest. After many adventures he wins, pays off his father Amos's mortgage and marries Betty."
Rango,2011,"Animation, Action, Adventure","Rango is a pet chameleon always on the lookout for action and adventure, except the fake kind, where he directs it and acts in it. After a car accident, he winds up in an old western town called Dirt. What this town needs the most is water, but they also need a hero and a sheriff. The thirsty Rango instantly takes on the role of both and selfishly agrees to take on the case of their missing water."
The Ambushers,1967,"Action, Comedy, Sci-Fi","Without a doubt, there's a mole in the secret Intelligence and Counter Espionage agency. Right after the successful launch of the first state-of-the-art USAF flying saucer, the powerful tractor beam of a nefarious criminal organisation forces the experimental vessel to crash-land in the lush Central-American jungles. As a result, having no recollection of the mysterious incident, the amnesiac test pilot, Sheila Sommers, will have to join forces with the spy extraordinaire and suave photographer, Matt Helm, and travel to sun-kissed Acapulco to shed light on this thorny case. Nevertheless, their luxurious Mexican resort is rife with deadly traps and crafty double-agents, bent on stopping the prying intruders. Will Matt and Sheila unearth the dangerous conspiracy? Can they retrieve the top-secret spacecraft?"
Bad Santa,2003,"Comedy, Crime, Drama","Willie T. Stokes is a convicted con man who's led a miserable life. He drinks heavily and constantly embarrasses himself publicly. He only works once a year dressed as Santa. But then come Christmas Eve, he and his pint-sized helper dwarf Marcus stage elaborate robberies and take their department stores for everything they got. This time around, Willie gets distracted by large women, a bartender who is attracted to Santas, and a kid who's convinced he's the real deal. However, Marcus must once again put up with Willie's heavy drinking and a series of incidents that constantly shoot themselves in the foot. Will Willie and Marcus make it to next Christmas? Or will this be the year the dynamic duo finally face justice?"
K-9,1989,"Action, Comedy, Crime","The extravagant cop Michael Dooley needs some help to fight a drug dealer who has tried to kill him. A ""friend"" gives him a drug-sniffing dog named Jerry Lee. With his help, Dooley sets out to put his enemy behind bars, but Jerry Lee has a personality of his own and works only when he wants to. On the other hand, the dog is quite good at destroying Dooley's car, house, sex-life, etc."
Jawbreaker,1999,"Comedy, Crime, Thriller","In a no-holds-barred birthday prank, three of Reagan High School's most popular girls - Julie, Marcie, and Courtney - pretend to kidnap the most popular, Liz Purr. Courtney shoves a jawbreaker into the victim's mouth ostensibly to keep her from screaming. Their plan goes awry when the girl accidentally swallows the jawbreaker, choking to death. The cool and calculating Courtney tries to cover the crime but is found out by school geek Fern Mayo. In return for her silence, Courtney transforms the gawky Fern into the stylishly beautiful Vylette, leaving the conscience-stricken Julie out in the cold, threatening to set her up for the girl's murder if she breaks her silence."
What's the Worst That Could Happen?,2001,"Comedy, Crime",Thief Kevin Caffery attempts to rob from the home of rich businessman Max Fairbanks. But Fairbanks catches him and steals his cherished ring that his girlfriend gave him. Caffery is then bent on revenge and getting his ring back with the help of his partners.
Vegas in Space,1991,"Comedy, Sci-Fi","Three soldiers are ordered to change their sex (via a pill) and are sent on a secret mission (undercover as show girls) to the women only planet of Clitoris' capital city ""Vegas in Space."" Once they arrive, they must maneuver through complex politics and decadent parties, to uncover a plot to disrupt the most important pleasure planet in the Universe. Oh yeah, everyone except two of the ""men"" who become ""women"" is played by a drag queen, at least one is a dual role."
Whisky Galore!,1949,"Comedy, Crime","Based on a true story. The name of the real ship, that sunk Feb 5 1941 - during WWII - was S/S Politician. Having left Liverpool two days earlier, heading for Jamaica, it sank outside Eriskay, The Outer Hebrides, Scotland, in bad weather, containing 250,000 bottles of whisky. The locals gathered as many bottles as they could, before the proper authorities arrived, and even today, bottles are found in the sand or in the sea every other year."
The Wild and the Innocent,1959,Western,"Charming tale of mountaineer-trapper Yancey's (Audie Murphy) first taste ""big city"" life with young, sweet Rosalie (Sandra Dee) in tow. She flees her family, which tried to trade her for some of Yancey's beaver pelts, and tags along with the reluctant Yancey. They get into all manner of trouble in town, and Yancey has to shoot Sheriff Bartell (Gilbert Roland) to rescue Rosalie from her job as a dance-hall girl."
The Pure Hell of St. Trinian's,1960,Comedy,"When the school burns to the ground there's clearly been some arson around. The pupils are found guilty and the judge hands them into the care of a pretty dubious child psychiatrist. The sixth form are soon kidnapped and on their way to Arabia with the Ministry of Education, Barchester police, and an Army Bath Unit after them. But real rescue is at hand in the shape of Britain's finest fighting force - St. Trinian's fourth form."
Be Big!,1931,"Short, Comedy, Family","On their way to the train station with their wives for a vacation in Atlantic City, Stanley and Oliver get a phone call from a fellow lodge member who tells them a surprise stag party in their honor is being held that evening. Oliver feigns illness to get out of the trip, and the wives head off to the train station by themselves. Stanley's attempts to help Oliver get into his lodge uniform turn into a series of disasters. Meanwhile, the wives miss the last train and, returning to discover the deception, come after their husbands with shotguns."
